"","cell_type_broad","cluster","mod","n_genes","n_FDR05","nUP","nDown"
"1","Astro","Astro.1","carrier",16867,7,5,2
"2","Astro","Astro.2","carrier",9994,58,10,48
"3","Astro","Astro.3","carrier",11282,23,5,18
"4","Astro","Astro.4","carrier",8135,0,0,0
"5","Astro","Astro.5","carrier",1793,0,0,0
"6","Oligo","Oligo.1","carrier",13881,0,0,0
"7","Oligo","Oligo.2","carrier",13983,0,0,0
"8","Oligo","Oligo.3","carrier",11496,1022,679,343
"9","Oligo","Oligo.4","carrier",12055,0,0,0
"10","Oligo","Oligo.5","carrier",9670,54,47,7
"11","OPC","OPC.1","carrier",13679,0,0,0
"12","OPC","OPC.2","carrier",11203,0,0,0
"13","OPC","OPC.3","carrier",14268,0,0,0
"14","OPC","OPC.4","carrier",11598,0,0,0
"15","OPC","OPC.5","carrier",1380,0,0,0
"16","Macro","Macro","carrier",2931,15,10,5
"17","Micro","Micro.1","carrier",10158,1,1,0
"18","Micro","Micro.2","carrier",8763,1,0,1
"19","Micro","Micro.3","carrier",7923,1,1,0
"20","Micro","Micro.4","carrier",7227,15,13,2
"21","Micro","Micro.5","carrier",2327,0,0,0
"22","Vasc","Vasc.Endo","carrier",5058,2,1,1
"23","Vasc","Vasc.VLMC","carrier",6644,4,1,3
"24","Excit","Excit.L2","carrier",20080,0,0,0
"25","Excit","Excit.L2_5.1","carrier",22201,6,0,6
"26","Excit","Excit.L2_5.2","carrier",14797,1,1,0
"27","Excit","Excit.L5.1","carrier",18607,0,0,0
"28","Excit","Excit.L5.2","carrier",13343,19,3,16
"29","Excit","Excit.L6_CT","carrier",15211,0,0,0
"30","Excit","Excit.L6b","carrier",15739,0,0,0
"31","Inhib","Inhib.Lamp5_Lhx6","carrier",14063,0,0,0
"32","Inhib","Inhib.Pvalb","carrier",15219,0,0,0
"33","Inhib","Inhib.Vip","carrier",19549,14,0,14
"34","Inhib","Inhib.Chandelier","carrier",8999,0,0,0
"35","Inhib","Inhib.Sst","carrier",12194,2,0,2
"36","Astro","Astro.1","E4E4",16867,1,1,0
"37","Astro","Astro.2","E4E4",9994,0,0,0
"38","Astro","Astro.3","E4E4",11282,0,0,0
"39","Astro","Astro.4","E4E4",8135,0,0,0
"40","Astro","Astro.5","E4E4",1793,0,0,0
"41","Oligo","Oligo.1","E4E4",13881,0,0,0
"42","Oligo","Oligo.2","E4E4",13983,0,0,0
"43","Oligo","Oligo.3","E4E4",11496,0,0,0
"44","Oligo","Oligo.4","E4E4",12055,0,0,0
"45","Oligo","Oligo.5","E4E4",9670,0,0,0
"46","OPC","OPC.1","E4E4",13679,0,0,0
"47","OPC","OPC.2","E4E4",11203,0,0,0
"48","OPC","OPC.3","E4E4",14268,0,0,0
"49","OPC","OPC.4","E4E4",11598,0,0,0
"50","OPC","OPC.5","E4E4",1380,0,0,0
