cluster,layer_confidence,layer_label,top_enrich
xSp12D08,good,vVasc,"ITGA8, PLCE1, NPNT, MAGED2, CSPG4, CDH6, CAV1, IGFBP3, SDK1, OST4"
xSp12D06,good,vVasc,"TRAC, CD2, CD3G, CD52, THEMIS, GZMA, CCL5, GNLY, IL7R, NKG7"
xSp12D12,good,vVasc,"CEMIP, CTSS, TMEM132C, CD14, CD163, C1orf162, SPI1, ADAMTS12, TLR2, FCER1G"
xSp12D02,poor,vL1/vWMuf*,"IDH2, CABLES1, SNTA1, MT-ND1, FGFR3, SLC4A4, WIF1, SPON1, GJA1, P2RY12"
xSp12D05,poor,vWMuf*,"CNDP1, BCAS1, MOG, MAG, MBP, ERMN, SOX10, ERBB3, PLP1, ST18"
xSp12D03,good,vWMim/vWMd,"SOX9, AQP4, SFRP2, FZD8, PAX6, SOX2, LINC00609, VCAN, CBS, ADRA1A"
xSp12D10,good,vWMd,"PSEN1, GOLGA7, PCSK6, MBP, ERBB3, MOBP, LINC00609, CNTN2, CTNNA3, ST18"
xSp12D09,good,vL6,"HS3ST4, RXFP1, POU6F2, BRINP3, SULF1, NNAT, RASGRP1, NPFFR2, HS3ST2, ROS1"
xSp12D01,good,vLD,"CNTNAP3B, NTNG1, ARHGEF3, PABPN1, MTX2, APP, MYO16, PLCH1, RIT2, PSEN2"
xSp12D04,good,vL2,"FSTL4, TESPA1, LAMP5, ADRB1, ADAMTS3, ANO3, ADAMTS16, PLPPR4, NWD2, CDH12"
xSp12D07,good,vL1,"TGFB2, CXCL14, KIT, THSD7B, PROX1, ADRA1A, VIP, PLD5, CHST11, BTBD11"
xSp12D11,poor,vVasc*,"ADGRF5, FLT1, THSD4, ATP10A, KLF4, RNF144B, KLF2, PECAM1, CDH6, CD163"
