"","sample_id","round","Visium_slide","n_spots","prop","n_donors","median_sum_umi","median_sum_gene","median_expr_chrM_ratio"
"1","Br1039","round2","V13Y24-343",3906,0.0319634703196347,1,2991.5,1549,0.222487091189429
"2","Br1289","round1","V13B23-364",3648,0.0298522119114253,1,4342,1941,0.250687763095779
"3","Br1556","round2","V13Y24-343",3524,0.0288374985679449,1,3660,1702.5,0.24508824927974
"4","Br1691","round2","V13Y24-344",4161,0.0340501792114695,1,3933,1456,0.437405731523379
"5","Br1706","round2","V13Y24-342",3699,0.0302695536897923,1,3265,1603,0.236352729454109
"6","Br2305","round2","V13Y24-340",3069,0.0251141552511416,1,4408,2146,0.155457395269307
"7","Br2582","round2","V13Y24-344",2367,0.0193695684195021,1,2801,1307,0.285714285714286
"8","Br3974","round2","V13Y24-344",2722,0.0222745945238212,1,1263.5,725.5,0.235848306536632
"9","Br5161","round1","V13B23-365",4682,0.0383136118885125,1,4766,2008.5,0.2823842860652
"10","Br5212","round2","V13Y24-343",4674,0.0382481465115137,1,2727.5,1528.5,0.14804042564862
"11","Br5276","round2","V13Y24-343",4011,0.0328227033927432,1,858,294,0.605504587155963
"12","Br5367","round2","V13Y24-340",2828,0.0231420107690545,1,5329,2390,0.215156256627198
"13","Br5415","round2","V13Y24-344",3858,0.0315706780576423,1,3571,1669,0.269910701048843
"14","Br5426","round2","V13Y24-342",4824,0.0394756223302401,1,3617.5,1752,0.200244042315122
"15","Br5460","round2","V13Y24-342",4032,0.0329945500073649,1,4421,2212,0.145207200980954
"16","Br5517","round2","V13Y24-340",3823,0.0312842670332728,1,3488,1621,0.275245986535474
"17","Br5529","round1","V13B23-365",4570,0.0373970966105301,1,1676,610,0.501058860168172
"18","Br5599","round1","V13B23-363",4812,0.039377424264742,1,5064.5,2241.5,0.200221047536596
"19","Br5634","round1","V13B23-363",4830,0.0395247213629892,1,5947,2587.5,0.174622754587771
"20","Br5712","round2","V13Y24-340",3373,0.0276018395770937,1,2640,1081,0.369770253929867
"21","Br5832","round1","V13B23-363",3546,0.0290175283546914,1,3747,1839,0.179421303735606
"22","Br5854","round1","V13B23-364",3575,0.0292548403463118,1,4330,1882,0.263514861360463
"23","Br5941","round1","V13B23-363",4869,0.039843865075858,1,3999,1806,0.217380720545278
"24","Br6085","round1","V13B23-364",4017,0.0328718024254922,1,3523,1810,0.182032301480485
"25","Br6098","round1","V13B23-365",4570,0.0373970966105301,1,3274,1567.5,0.257901342993029
"26","Br6161","round1","V13B23-364",4864,0.0398029492152338,1,2879,1192,0.40492024363552
"27","Br6263","round1","V13B23-366",3226,0.0263989132747418,1,1618,826,0.33772791887636
"28","Br6321","round1","V13B23-366",3641,0.0297949297065514,1,1576,953,0.202666666666667
"29","Br6423","round1","V13B23-365",4315,0.0353103877186953,1,4623,2207,0.162178956089478
"30","Br6476","round2","V13Y24-342",3964,0.0324380943028756,1,6383,2602.5,0.210256930346945
"31","Br6538","round1","V13B23-366",4202,0.0343856892685881,1,1136,719.5,0.174583382812809
