"","vSpD","n_spots","prop","n_donors","median_sum_umi","median_sum_gene","median_expr_chrM_ratio","median_nuclei","prop_zero_nuc"
"1","vVasc",5055,0.0413659350910787,31,1716,898,0.200680272108844,4,0.230069238377844
"2","vL1",16895,0.138254693049214,31,2408,1019,0.343547224224946,4,0.133649008582421
"3","vL2",14069,0.115129048624409,31,5609,2483,0.186625815905155,5,0.0811002914208544
"4","vInhib",2419,0.0197950933699939,31,5240,2370,0.203790238836968,6,0.0144687887556842
"5","vLD",17773,0.145439518174825,31,3920,1754,0.259390712806862,4,0.120182298992854
"6","vL5a",11577,0.0947365836893013,31,5851,2585,0.198908071418032,7,0.0523451671417466
"7","vL5b",14608,0.119539778399699,31,5373.5,2420.5,0.188484246929311,6,0.063526834611172
"8","vL6",14548,0.119048788072208,31,3430,1643.5,0.229469398854657,6,0.0551965905966456
"9","vWMuf",12025,0.0984026448012307,31,478,285,0.267441860465116,7,0.109355509355509
"10","vWMpv",8192,0.0670365460467095,31,1442.5,745,0.233182160976279,9,0.0484619140625
"11","vWMd",5041,0.0412513706813309,31,1949,1012,0.184534270650264,11,0.0174568537988494
