"","mod","cluster","n_gene","n_FDR05","nUP","nDown","n_FDR10","n_FDR20"
"1","interaction Age","Excit.L5.2",11952,7,7,0,7,13
"2","interaction Age","Excit.L2_5.1",22170,3,1,2,7,84
"3","interaction Age","OPC.3",14349,1,0,1,1,1
"4","interaction Age","Astro.1",16867,0,0,0,0,0
"5","interaction Age","Astro.2",10083,0,0,0,0,0
"6","interaction Age","Astro.3",10569,0,0,0,0,0
"7","interaction Age","Astro.4",8135,0,0,0,0,1
"8","interaction Age","Astro.5",1793,0,0,0,0,1
"9","interaction Age","Macro",2931,0,0,0,0,19
"10","interaction Age","Micro.1",10199,0,0,0,0,0
"11","interaction Age","Micro.2",8990,0,0,0,0,0
"12","interaction Age","Micro.3",8114,0,0,0,0,0
"13","interaction Age","Micro.4",6768,0,0,0,0,0
"14","interaction Age","Micro.5",2285,0,0,0,0,0
"15","interaction Age","OPC.1",13474,0,0,0,0,0
"16","interaction Age","OPC.2",10555,0,0,0,0,0
"17","interaction Age","OPC.4",11670,0,0,0,0,0
"18","interaction Age","OPC.5",1362,0,0,0,0,0
"19","interaction Age","Oligo.1",13970,0,0,0,0,1
"20","interaction Age","Oligo.2",14226,0,0,0,0,0
"21","interaction Age","Oligo.3",11482,0,0,0,0,4
"22","interaction Age","Oligo.4",11901,0,0,0,0,0
"23","interaction Age","Oligo.5",9854,0,0,0,0,0
"24","interaction Age","Vasc.Endo",5618,0,0,0,0,0
"25","interaction Age","Vasc.VLMC",6644,0,0,0,2,24
"26","interaction Age","Excit.L2",20080,0,0,0,0,247
"27","interaction Age","Excit.L2_5.2",14365,0,0,0,0,0
"28","interaction Age","Excit.L5.1",18607,0,0,0,0,3
"29","interaction Age","Excit.L6_CT",14031,0,0,0,0,0
"30","interaction Age","Excit.L6b",16016,0,0,0,0,0
"31","interaction Age","Inhib.Lamp5_Lhx6",13588,0,0,0,0,0
"32","interaction Age","Inhib.Pvalb",15249,0,0,0,0,0
"33","interaction Age","Inhib.Vip",19576,0,0,0,0,1
"34","interaction Age","Inhib.Chandelier",8999,0,0,0,0,0
"35","interaction Age","Inhib.Sst",12219,0,0,0,0,0
