OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes,gene_set
0,1,0,54,Vasc~Sp09D08_up,0.05,8,Ast,,Mathys_early
0,1,0,566,Vasc~Sp09D08_up,0.05,8,Ex,,Mathys_early
0,1,0,37,Vasc~Sp09D08_up,0.05,8,In,,Mathys_early
0,1,0,26,Vasc~Sp09D08_up,0.05,8,Mic,,Mathys_early
0,1,0,142,Vasc~Sp09D08_up,0.05,8,Oli,,Mathys_early
0,1,0,21,Vasc~Sp09D08_up,0.05,8,Opc,,Mathys_early
0,1,0,54,Vasc~Sp09D08_down,0.05,22,Ast,,Mathys_early
0,1,0,566,Vasc~Sp09D08_down,0.05,22,Ex,,Mathys_early
11.83305524104116,0.08661299923499155,1,37,Vasc~Sp09D08_down,0.05,22,In,PDE8A,Mathys_early
0,1,0,26,Vasc~Sp09D08_down,0.05,22,Mic,,Mathys_early
2.9885021406289187,0.2951298369116261,1,142,Vasc~Sp09D08_down,0.05,22,Oli,PDE8A,Mathys_early
0,1,0,21,Vasc~Sp09D08_down,0.05,22,Opc,,Mathys_early
0,1,0,61,L1~Sp09D05_up,0.05,0,Ast,,Mathys_early
0,1,0,648,L1~Sp09D05_up,0.05,0,Ex,,Mathys_early
0,1,0,45,L1~Sp09D05_up,0.05,0,In,,Mathys_early
0,1,0,28,L1~Sp09D05_up,0.05,0,Mic,,Mathys_early
0,1,0,155,L1~Sp09D05_up,0.05,0,Oli,,Mathys_early
0,1,0,24,L1~Sp09D05_up,0.05,0,Opc,,Mathys_early
0,1,0,61,L1~Sp09D05_down,0.05,1,Ast,,Mathys_early
0,1,0,648,L1~Sp09D05_down,0.05,1,Ex,,Mathys_early
0,1,0,45,L1~Sp09D05_down,0.05,1,In,,Mathys_early
0,1,0,28,L1~Sp09D05_down,0.05,1,Mic,,Mathys_early
0,1,0,155,L1~Sp09D05_down,0.05,1,Oli,,Mathys_early
0,1,0,24,L1~Sp09D05_down,0.05,1,Opc,,Mathys_early
0,1,0,64,L2.3~Sp09D01_up,0.05,0,Ast,,Mathys_early
0,1,0,681,L2.3~Sp09D01_up,0.05,0,Ex,,Mathys_early
0,1,0,47,L2.3~Sp09D01_up,0.05,0,In,,Mathys_early
0,1,0,27,L2.3~Sp09D01_up,0.05,0,Mic,,Mathys_early
0,1,0,156,L2.3~Sp09D01_up,0.05,0,Oli,,Mathys_early
0,1,0,26,L2.3~Sp09D01_up,0.05,0,Opc,,Mathys_early
0,1,0,64,L2.3~Sp09D01_down,0.05,0,Ast,,Mathys_early
0,1,0,681,L2.3~Sp09D01_down,0.05,0,Ex,,Mathys_early
0,1,0,47,L2.3~Sp09D01_down,0.05,0,In,,Mathys_early
0,1,0,27,L2.3~Sp09D01_down,0.05,0,Mic,,Mathys_early
0,1,0,156,L2.3~Sp09D01_down,0.05,0,Oli,,Mathys_early
0,1,0,26,L2.3~Sp09D01_down,0.05,0,Opc,,Mathys_early
0,1,0,65,LD~Sp09D02_up,0.05,0,Ast,,Mathys_early
0,1,0,696,LD~Sp09D02_up,0.05,0,Ex,,Mathys_early
0,1,0,48,LD~Sp09D02_up,0.05,0,In,,Mathys_early
0,1,0,31,LD~Sp09D02_up,0.05,0,Mic,,Mathys_early
0,1,0,162,LD~Sp09D02_up,0.05,0,Oli,,Mathys_early
