gene_name,cell_type,source,note
HLA-DRA,Micro,Grubman et al.,
CX3CR1,Micro,Grubman et al.,
C1QB,Micro,Grubman et al.,
CSF1R,Micro,Grubman et al.,
AQP4,Astro,Grubman et al.,
SLC1A2,Astro,Grubman et al.,
SYT1,Glutamate receptor,Grubman et al.,
GRIK2,Glutamate receptor,Grubman et al.,
GR1A1,Glutamate receptor,Grubman et al.,
GRIN2B,Glutamate receptor,Grubman et al.,
RBFOX1,Neuron,Grubman et al.,
MOBP,Oligo,Grubman et al.,
MBP,Oligo,Grubman et al.,
PLP1,Oligo,Grubman et al.,
PDCH15,OPC,Grubman et al.,
MEGF11,OPC,Grubman et al.,
FLT1,Endo,Grubman et al.,
CLDN5,Endo,Grubman et al.,
SLC17A7,Excit,Leng et al.,
CAMK2A,Excit,Leng et al.,
GAD1,Inhib,Leng et al.,
GAD2,Inhib,Leng et al.,
SLC1A2,Astro,Leng et al.,
AQP5,Astro,Leng et al.,
MBP,Oligo,Leng et al.,
MOG,Oligo,Leng et al.,
PDGFRA,OPC,Leng et al.,
SOX10,OPC,Leng et al.,
CD74,Micro,Leng et al.,
CX3CR1,Micro,Leng et al.,
FLT1,Endo,Leng et al.,
CLDN5,Endo,Leng et al.,
KIT,Inhib-subtype,Keri,
CHODL,Inhib-subtype,Keri,
CORT,Inhib-subtype,Keri,
SYT1,Neuron,Davila-Velderrain et al.,
NRGN,Excit,Davila-Velderrain et al.,
GAD1,Inhib,Davila-Velderrain et al.,
MBP,Oligo,Davila-Velderrain et al.,
VCAN,OPC,Davila-Velderrain et al.,
AQP4,Astro,Davila-Velderrain et al.,
CSF1R,Micro,Davila-Velderrain et al.,
SKAP1,T-cells,Davila-Velderrain et al.,
VWF,Endo,Davila-Velderrain et al.,
PDGFRB,Pericytes,Davila-Velderrain et al.,
LAMA2,Fibroblast,Davila-Velderrain et al.,
CEMP,Fibroblast,Davila-Velderrain et al.,
TTR,choroid plexis,Davila-Velderrain et al.,
PVALB,Inhib-subtype,Davila-Velderrain et al.,
SST,Inhib-subtype,Davila-Velderrain et al.,
VIP,Inhib-subtype,Davila-Velderrain et al.,
LAMP5,Inhib-subtype,Davila-Velderrain et al.,
